"","NAME","Age.Group","SEX","EDU.Simplified","DEPT","CITY","HOOD","sentence","position","words","focused","tones","sentence_type","total_speakers","position_spec"
"37","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","BFD2","N","mandarinas",NA,"L+H* L%","BFD",30,"N"
"38","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","BFD4","PN","Yo",NA,"L+H*","BFD",30,"PN1"
"39","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","BFD4","PN","vivi",NA,"!H*","BFD",30,"PN2"
"40","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","BFD4","PN","muchos",NA,"L+<H*","BFD",30,"PN3"
"41","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","BFD4","PN","anos","en","!H*","BFD",30,"PN4"
"42","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","BFD4","N","San","Juan","L* L%","BFD",30,"N"
"43","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD1","PN","Senora",NA,"L+<H*","NFD",30,"PN1"
"44","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD1","PN","no",NA,"L+H*","NFD",30,"PN2"
"45","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD1","PN","quiero",NA,"L+¡H*","NFD",30,"PN3"
"46","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD1","PN","limones",NA,"L* L-","NFD",30,"PN4"
"47","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD1","PN","quiero",NA,"L+<H*","NFD",30,"PN5"
"48","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD1","N","naranjas","FOCUSED","L* L%","NFD",30,"N1"
"49","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD2","PN","Que",NA,"L+<H*","NFD",30,"PN1"
"50","MVF21","18-35","Female","Tertiary","Montevideo","Montevideo","Pocitos","NFD2","PN","rico",NA,"L+<¡H*","NFD",30,"PN2"
